Year,Month,Day,Hour,Temperature,Pressure,Fahrenheit
2013.0,1.0,1.0,0.0,-20.0,9965.0,-4.0
2013.0,1.0,1.0,1.0,-24.0,9961.0,-11.2
2013.0,1.0,1.0,2.0,-22.0,9967.0,-7.6
2013.0,1.0,1.0,3.0,-39.0,9976.0,-38.2
2013.0,1.0,1.0,4.0,-21.0,9965.0,-5.8
2013.0,1.0,1.0,5.0,-21.0,9966.0,-5.8
2013.0,1.0,1.0,6.0,-18.0,9975.0,-0.4
2013.0,1.0,1.0,7.0,-17.0,9983.0,1.4
2013.0,1.0,1.0,8.0,-16.0,9977.0,3.2
2013.0,1.0,1.0,9.0,-21.0,9980.0,-5.8
2013.0,1.0,1.0,10.0,-18.0,9984.0,-0.4
2013.0,1.0,1.0,11.0,-17.0,9976.0,1.4
2013.0,1.0,1.0,12.0,-15.0,9983.0,5.0
2013.0,1.0,1.0,13.0,-12.0,9982.0,10.4
2013.0,1.0,1.0,14.0,-10.0,9982.0,14.0
2013.0,1.0,1.0,15.0,-9.0,9981.0,15.8
2013.0,1.0,1.0,16.0,-9.0,9971.0,15.8
2013.0,1.0,1.0,17.0,-8.0,9978.0,17.6
2013.0,1.0,1.0,18.0,-8.0,9984.0,17.6
2013.0,1.0,1.0,19.0,-9.0,9984.0,15.8
2013.0,1.0,1.0,20.0,-9.0,9981.0,15.8
2013.0,1.0,1.0,21.0,-6.0,9984.0,21.2
2013.0,1.0,1.0,22.0,-7.0,9986.0,19.4
2013.0,1.0,1.0,23.0,-7.0,9991.0,19.4
,,,,,,5.0
